map,japan
title,重要犯罪総数_認知件数_2016年1-5月_前年同期比
unit,%
北海道,-30.8
青森県,-3.6
岩手県,45
宮城県,-34.5
秋田県,-43.8
山形県,56.3
福島県,-18.8
東京都,-5.4
茨城県,-12.7
栃木県,25
群馬県,-5.6
埼玉県,-7.4
千葉県,31.7
神奈川県,-5.7
新潟県,-3.6
山梨県,-51.7
長野県,-1.9
静岡県,-5.4
富山県,-38.5
石川県,-39.5
福井県,-17.4
岐阜県,-32.9
愛知県,0.7
三重県,-4.9
滋賀県,-9.8
京都府,-3
大阪府,-20.1
兵庫県,-16.8
奈良県,-9.1
和歌山県,-4.2
鳥取県,-6.3
島根県,-33.3
岡山県,0
広島県,-23.2
山口県,-11.8
徳島県,-12.5
香川県,-15.8
愛媛県,-24.4
高知県,50
福岡県,-29.7
佐賀県,-18.5
長崎県,-16.7
熊本県,31.6
大分県,-42.9
宮崎県,6.5
鹿児島県,9.1
沖縄県,-23.3
