Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,85歳以上,75歳以上
1999-09-01,125390,5900,5980,6730,7600,8770,9700,8480,7750,7800,9430,9740,8840,7600,6920,5710,NA,NA,NA,NA,NA,NA,NA,8430
1999-10-01,125430,5890,5990,6710,7590,8770,9710,8490,7770,7790,9360,9790,8850,7600,6930,5720,NA,NA,NA,NA,NA,NA,NA,8470
1999-11-01,125490,5880,5980,6690,7580,8740,9740,8500,7780,7780,9300,9850,8860,7610,6940,5730,NA,NA,NA,NA,NA,NA,NA,8510
1999-12-01,125520,5880,5980,6680,7560,8720,9760,8520,7790,7770,9250,9900,8850,7620,6940,5740,NA,NA,NA,NA,NA,NA,NA,8550
2000-01-01,125560,5870,5970,6650,7560,8710,9760,8530,7810,7760,9200,9970,8860,7630,6950,5760,NA,NA,NA,NA,NA,NA,NA,8570
2000-02-01,125560,5870,5970,6640,7550,8660,9760,8540,7820,7730,9160,10060,8780,7640,6980,5770,NA,NA,NA,NA,NA,NA,NA,8640
2000-03-01,125470,5880,5970,6630,7530,8570,9760,8540,7820,7720,9100,10090,8770,7630,6990,5780,NA,NA,NA,NA,NA,NA,NA,8680
2000-04-01,125520,5880,5960,6590,7490,8610,9770,8550,7840,7710,9060,10130,8760,7630,7000,5800,NA,NA,NA,NA,NA,NA,NA,8750
2000-05-01,125480,5880,5950,6600,7500,8580,9740,8540,7840,7710,9030,10150,8740,7630,7020,5810,NA,NA,NA,NA,NA,NA,NA,8770
2000-06-01,125540,5880,5950,6580,7490,8560,9750,8570,7860,7700,9000,10190,8750,7630,7020,5820,NA,NA,NA,NA,NA,NA,NA,8790
2000-07-01,125560,5880,5950,6570,7480,8540,9750,8580,7870,7700,8970,10240,8720,7640,7030,5830,NA,NA,NA,NA,NA,NA,NA,8810
2000-08-01,125510,5880,5930,6520,7420,8490,9760,8610,7890,7690,8920,10300,8710,7660,7050,5850,NA,NA,NA,NA,NA,NA,NA,8840
2000-09-01,125550,5880,5930,6520,7440,8430,9750,8610,7920,7680,8890,10340,8700,7670,7060,5860,NA,NA,NA,NA,NA,NA,NA,8880
2000-10-01,125590,5880,5930,6500,7440,8440,9750,8600,7950,7680,8850,10390,8670,7660,7070,5870,NA,NA,NA,NA,NA,NA,NA,8920
