Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,0~14歳,15~64,65歳以上,うち75歳以上,うち85歳以上,種別,85歳以上,75歳以上
1999-09-01,12663,595,603,678,766,889,988,867,790,791,950,980,889,763,695,573,NA,NA,NA,NA,NA,NA,1876,8673,2114,NA,NA,NA,NA,846
1999-10-01,12669,595,603,676,765,889,989,868,792,790,944,986,890,763,695,574,NA,NA,NA,NA,NA,NA,1874,8676,2119,NA,NA,NA,NA,850
1999-11-01,12676,594,603,674,764,887,993,869,793,788,938,991,891,764,696,575,NA,NA,NA,NA,NA,NA,1871,8679,2125,NA,NA,NA,NA,854
1999-12-01,12679,594,603,672,763,885,995,870,795,787,933,997,890,766,697,576,NA,NA,NA,NA,NA,NA,1869,8679,2131,NA,NA,NA,NA,858
2000-01-01,12677,593,602,670,762,883,994,870,796,786,927,1004,890,766,697,577,NA,NA,NA,NA,NA,NA,1864,8678,2134,NA,NA,NA,NA,860
2000-02-01,12682,593,602,669,761,878,995,873,797,783,924,1012,883,767,700,579,NA,NA,NA,NA,NA,NA,1864,8672,2145,NA,NA,NA,NA,867
2000-03-01,12674,594,601,667,759,869,994,873,798,782,919,1016,882,767,702,580,NA,NA,NA,NA,NA,NA,1862,8658,2153,NA,NA,NA,NA,871
2000-04-01,12678,594,600,664,756,873,995,874,799,781,914,1020,880,766,703,582,NA,NA,NA,NA,NA,NA,1858,8657,2162,NA,NA,NA,NA,878
2000-05-01,12676,594,600,664,757,872,992,873,799,781,911,1022,879,766,704,583,NA,NA,NA,NA,NA,NA,1858,8651,2167,NA,NA,NA,NA,880
2000-06-01,12685,595,599,663,755,870,994,876,801,781,908,1026,879,766,705,584,NA,NA,NA,NA,NA,NA,1857,8658,2170,NA,NA,NA,NA,882
2000-07-01,12687,594,599,662,755,867,994,878,803,781,905,1030,877,768,705,585,NA,NA,NA,NA,NA,NA,1855,8658,2174,NA,NA,NA,NA,884
2000-08-01,12679,594,597,656,749,863,995,880,805,779,900,1036,876,770,707,586,NA,NA,NA,NA,NA,NA,1847,8652,2181,NA,NA,NA,NA,887
2000-09-01,12686,594,597,657,751,857,994,880,808,779,897,1041,874,770,708,588,NA,NA,NA,NA,NA,NA,1848,8651,2187,NA,NA,NA,NA,891
2000-10-01,12692,594,597,655,751,858,994,880,811,779,893,1046,872,769,709,589,NA,NA,NA,NA,NA,NA,1847,8652,2193,NA,NA,NA,NA,895
2000-11-01,12699,595,597,653,749,857,995,880,815,778,889,1051,869,770,712,590,NA,NA,NA,NA,NA,NA,1845,8653,2201,NA,NA,NA,NA,900
2000-12-01,12702,595,596,652,748,855,995,881,817,777,885,1058,864,770,714,592,NA,NA,NA,NA,NA,NA,1843,8649,2209,NA,NA,NA,NA,904
2001-01-01,12690,595,595,649,748,852,992,880,817,775,880,1064,860,770,715,592,NA,NA,NA,NA,NA,NA,1838,8638,2213,NA,NA,NA,NA,906
2001-02-01,12704,595,595,649,747,847,993,888,815,775,874,1076,850,771,718,595,NA,NA,NA,NA,NA,NA,1839,8638,2227,NA,NA,NA,NA,914
2001-03-01,12696,595,596,647,745,838,992,892,812,774,870,1083,845,772,719,597,NA,NA,NA,NA,NA,NA,1838,8624,2235,NA,NA,NA,NA,919
2001-04-01,12703,595,595,644,743,843,993,898,809,773,866,1090,838,773,719,598,NA,NA,NA,NA,NA,NA,1833,8626,2244,NA,NA,NA,NA,927
