Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,0~14歳,15~64,65歳以上,うち75歳以上,うち85歳以上,種別,85歳以上,75歳以上
1999-09-01,6134,302,306,345,390,450,494,429,392,392,472,485,434,367,326,256,NA,NA,NA,NA,NA,NA,953,4304,876,NA,NA,NA,NA,294
1999-10-01,6136,302,307,344,389,449,494,430,392,392,468,488,435,367,327,256,NA,NA,NA,NA,NA,NA,953,4305,878,NA,NA,NA,NA,295
1999-11-01,6137,302,307,343,388,448,496,430,393,391,465,490,435,368,327,257,NA,NA,NA,NA,NA,NA,951,4305,881,NA,NA,NA,NA,297
1999-12-01,6138,301,306,342,387,447,497,431,394,390,463,493,434,369,327,258,NA,NA,NA,NA,NA,NA,950,4304,884,NA,NA,NA,NA,299
2000-01-01,6142,301,306,341,387,446,497,432,395,390,460,497,434,369,328,258,NA,NA,NA,NA,NA,NA,948,4308,886,NA,NA,NA,NA,299
2000-02-01,6140,301,306,340,387,444,497,432,395,389,458,501,431,369,329,259,NA,NA,NA,NA,NA,NA,947,4302,890,NA,NA,NA,NA,302
2000-03-01,6136,302,306,340,386,440,497,432,395,388,455,503,430,369,330,260,NA,NA,NA,NA,NA,NA,947,4295,894,NA,NA,NA,NA,304
2000-04-01,6138,302,305,338,384,441,497,433,396,388,453,505,429,369,330,261,NA,NA,NA,NA,NA,NA,945,4295,898,NA,NA,NA,NA,306
2000-05-01,6135,302,305,338,384,440,496,432,396,387,451,506,429,369,331,262,NA,NA,NA,NA,NA,NA,944,4290,900,NA,NA,NA,NA,307
2000-06-01,6137,302,305,337,383,439,497,434,396,387,450,508,429,369,331,262,NA,NA,NA,NA,NA,NA,944,4292,901,NA,NA,NA,NA,308
2000-07-01,6138,302,305,337,383,437,497,434,397,387,448,510,428,370,331,263,NA,NA,NA,NA,NA,NA,943,4292,903,NA,NA,NA,NA,309
2000-08-01,6137,302,304,334,381,436,497,436,399,386,446,513,427,371,332,264,NA,NA,NA,NA,NA,NA,939,4292,906,NA,NA,NA,NA,310
2000-09-01,6138,302,304,334,381,433,497,436,400,386,444,515,426,371,333,264,NA,NA,NA,NA,NA,NA,939,4290,909,NA,NA,NA,NA,312
2000-10-01,6146,302,304,334,381,433,498,436,402,386,443,518,426,371,334,265,NA,NA,NA,NA,NA,NA,940,4294,913,NA,NA,NA,NA,314
2000-11-01,6147,302,304,333,381,432,498,436,403,386,441,521,424,371,335,266,NA,NA,NA,NA,NA,NA,939,4292,916,NA,NA,NA,NA,316
2000-12-01,6147,303,303,332,380,431,498,436,404,385,438,524,421,371,336,267,NA,NA,NA,NA,NA,NA,938,4289,920,NA,NA,NA,NA,317
2001-01-01,6148,302,303,330,380,430,498,437,405,385,436,528,419,371,336,267,NA,NA,NA,NA,NA,NA,936,4290,922,NA,NA,NA,NA,318
2001-02-01,6149,303,303,330,379,428,497,440,404,384,433,533,415,372,338,269,NA,NA,NA,NA,NA,NA,936,4286,928,NA,NA,NA,NA,321
2001-03-01,6145,302,303,329,379,424,496,442,402,384,431,536,412,372,338,270,NA,NA,NA,NA,NA,NA,935,4279,932,NA,NA,NA,NA,324
2001-04-01,6149,302,303,328,377,425,497,445,401,383,429,540,409,373,339,270,NA,NA,NA,NA,NA,NA,933,4280,936,NA,NA,NA,NA,327
2001-05-01,6144,302,303,328,377,424,495,447,399,383,428,542,406,373,339,271,NA,NA,NA,NA,NA,NA,933,4274,938,NA,NA,NA,NA,328
2001-06-01,6151,300,305,328,376,417,486,451,399,385,428,545,407,377,341,272,NA,NA,NA,NA,NA,NA,933,4270,948,NA,NA,NA,NA,335
2001-07-01,6152,300,305,327,376,416,485,453,399,385,427,546,407,378,341,272,NA,NA,NA,NA,NA,NA,932,4270,950,NA,NA,NA,NA,336
2001-08-01,6150,299,304,325,374,415,485,457,398,384,425,546,406,379,342,273,NA,NA,NA,NA,NA,NA,928,4268,953,NA,NA,NA,NA,337
2001-09-01,6151,299,305,325,374,412,484,459,397,385,423,546,406,381,343,274,NA,NA,NA,NA,NA,NA,929,4267,955,NA,NA,NA,NA,339
