min,66.14629463,,,map,japan,,,,,,,,,,,,,,,,,,,
max,125.6435883,,,title,1995年_全部位,1996年_全部位,1997年_全部位,1998年_全部位,1999年_全部位,2000年_全部位,2001年_全部位,2002年_全部位,2003年_全部位,2004年_全部位,2005年_全部位,2006年_全部位,2007年_全部位,2008年_全部位,2009年_全部位,2010年_全部位,2011年_全部位,2012年_全部位,2013年_全部位,2014年_全部位
,,,,unit,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対,人口10万対
2100,全部位,1,男女計,北海道,110.93446,113.3719435,109.6645759,106.0987925,105.7988566,104.8802529,103.9929607,99.51814334,96.32009035,98.43171125,98.24668939,95.43473659,93.81452219,92.31630366,93.13013679,91.40739456,91.4789037,89.60620585,88.50468297,88.19218081
2100,全部位,2,男女計,青森県,114.739887,117.1226611,113.6092582,111.5679155,112.3977532,109.6739597,109.7543728,105.2965101,104.3768245,108.0666188,103.1525355,105.0859034,103.7096793,101.7161661,98.44594832,101.0896962,97.66357324,96.53861,99.60311295,98.01355581
2100,全部位,3,男女計,岩手県,99.99238481,95.71012141,100.2565258,100.6933818,97.74039929,94.31151891,98.32806923,94.85760893,90.71288229,88.69953998,91.01030437,85.58896173,85.07698469,81.28079203,84.83760001,88.43441792,85.72485428,82.1449651,80.75601844,79.49691975
2100,全部位,4,男女計,宮城県,106.1085699,104.3345163,100.2854487,101.0743017,103.8154394,98.47844677,95.69110188,89.22692909,90.39118166,92.24842231,89.82639948,89.53234424,89.06849619,84.80145334,83.53476422,81.71778481,82.07410332,80.73963512,76.90118077,76.53669591
2100,全部位,5,男女計,秋田県,111.2095783,115.5520079,110.6383854,106.0939134,107.8788968,109.3439368,103.6012194,100.9807564,101.1466368,98.47458757,96.06803927,97.24417847,89.48354373,91.76398418,88.55890256,94.0612218,90.66906098,89.04265166,88.23787124,86.50352852
2100,全部位,6,男女計,山形県,99.23150475,104.0307184,101.4590173,101.0359063,100.5014829,99.71704929,97.19380286,88.97702161,89.46841853,89.2684868,84.35144452,87.06637119,82.1669799,84.66697862,78.59301638,80.62915275,82.00066674,79.99708795,80.41956671,78.44369601
2100,全部位,7,男女計,福島県,102.2440474,107.3014026,103.2293079,101.4202632,101.0677904,99.49897801,101.6459778,95.04455281,87.29531281,94.85419543,90.50434247,88.42237224,87.87817145,84.72549671,84.81030166,84.03696912,81.89915829,83.07207932,79.80680421,77.90793147
2100,全部位,8,男女計,茨城県,106.2547712,106.8443532,107.1948865,105.8200004,101.7963296,101.3746835,100.0332229,98.81496976,96.61125274,94.29754403,95.07745638,91.58156896,91.52451639,87.87040946,86.22065928,84.47842645,83.00957202,81.45033928,80.9073666,81.1010817
2100,全部位,9,男女計,栃木県,103.3323953,103.4694169,106.5661236,108.1338323,104.1633057,102.0553253,99.52407979,91.72023042,98.77263608,92.43784427,91.33243081,93.54292308,90.39378543,87.31192282,84.10423085,85.11946871,83.92182432,82.58198838,80.21527028,80.50559429
