map,japan
title,2016年度-計(捕殺+非捕殺、4月～8月分暫定値)
unit,頭
北海道,230
青森県,108
岩手県,213
宮城県,14
秋田県,320
山形県,194
福島県,170
茨城県,0
栃木県,33
群馬県,201
埼玉県,2
東京都,0
神奈川県,0
新潟県,75
富山県,20
石川県,22
福井県,18
山梨県,14
長野県,167
岐阜県,35
静岡県,23
愛知県,0
三重県,0
滋賀県,0
京都府,13
大阪府,0
兵庫県,6
奈良県,2
和歌山県,0
鳥取県,2
島根県,14
岡山県,1
広島県,16
山口県,2
愛媛県,0
香川県,0
徳島県,0
高知県,0
福岡県,0
長崎県,0
佐賀県,0
熊本県,0
宮崎県,0
大分県,0
鹿児島県,0
沖縄県,0
千葉県,0
