年度,国庫納付金(億円),前年比(%)
1998/01/01,14360,
1999/01/01,10858,-24.4
2000/01/01,12581,15.9
2001/01/01,13904,10.5
2002/01/01,5053,-63.7
2003/01/01,472,-90.7
2004/01/01,1690,258.1
2005/01/01,3171,87.6
2006/01/01,7414,133.8
2007/01/01,6087,-17.9
2008/01/01,2552,-58.1
2009/01/01,3487,36.6
2010/01/01,443,-87.3
2011/01/01,5026,1034.5
2012/01/01,5472,8.9
2013/01/01,5793,5.9
2014/01/01,7567,30.6
