MAP,JAPAN,,,
TITLE,平成28年度答申最低賃金時間額(円),平成27年度最低賃金額(円),引上げ額(円),発行予定日
UNIT,円,円,円,-
東京都,932,907,25,平成28年10月1日
神奈川県,930,905,25,平成28年10月1日
大阪府,883,858,25,平成28年10月1日
埼玉県,845,820,25,平成28年10月1日
愛知県,845,820,25,平成28年10月1日
千葉県,842,817,25,平成28年10月1日
京都府,831,807,24,平成28年10月2日
兵庫県,819,794,25,平成28年10月1日
静岡県,807,783,24,平成28年10月5日
三重県,795,771,24,平成28年10月1日
広島県,793,769,24,平成28年10月1日
滋賀県,788,764,24,平成28年10月6日
北海道,786,764,22,平成28年10月1日
岐阜県,776,754,22,平成28年10月1日
栃木県,775,751,24,平成28年10月1日
茨城県,771,747,24,平成28年10月1日
富山県,770,746,24,平成28年10月1日
長野県,770,746,24,平成28年10月1日
福岡県,765,743,22,平成28年10月1日
奈良県,762,740,22,平成28年10月6日
群馬県,759,737,22,平成28年10月5日
山梨県,759,737,22,平成28年10月1日
石川県,757,735,22,平成28年10月1日
岡山県,757,735,22,平成28年10月1日
福井県,754,732,22,平成28年10月1日
新潟県,753,731,22,平成28年10月1日
和歌山県,753,731,22,平成28年10月1日
山口県,753,731,22,平成28年10月1日
宮城県,748,726,22,平成28年10月5日
香川県,742,719,23,平成28年10月1日
福島県,726,705,21,平成28年10月1日
島根県,718,696,22,平成28年10月1日
山形県,717,696,21,平成28年10月6日
愛媛県,717,696,21,平成28年10月1日
青森県,716,695,21,平成28年10月20日
岩手県,716,695,21,平成28年10月5日
秋田県,716,695,21,平成28年10月6日
徳島県,716,695,21,平成28年10月1日
鳥取県,715,693,22,平成28年10月12日
高知県,715,693,22,平成28年10月13日
佐賀県,715,694,21,平成28年10月2日
長崎県,715,694,21,平成28年10月6日
熊本県,715,694,21,平成28年10月1日
大分県,715,694,21,平成28年10月1日
鹿児島県,715,694,21,平成28年10月1日
宮崎県,714,693,21,平成28年10月1日
沖縄県,714,693,21,平成28年10月1日
