都道府県,眼の病気･異常,難聴,栄養状態,せき柱･胸郭･四肢の状態,アトピー性皮膚炎,心臓の疫病･異常,蛋白検出の者,ぜん息,腎臓疾患,その他の疫病･疾患
 全国,3.18,0.27,0.71,2.42,2.23,0.62,2.72,1.88,0.24,2.32
 北海道,2.7,0.3,0.6,1.6,4.2,0.6,2.2,3.9,0.2,4.1
 青森,4.5,0.1,1.1,1.7,1,0.5,1.7,0.8,0.1,2.4
 岩手,4.1,0.2,1.4,1.9,1.4,0.3,1.1,1.3,0.5,3.2
 宮城,4.2,0.2,1.1,3.3,3.1,0.5,1.2,1.4,0.1,2.3
 秋田,4.8,1.4,0.2,2,2.2,0.3,0.9,1.4,0.1,2.9
 山形,3.1,0.2,1.3,0.8,2.1,0.8,4.2,1.8,0.2,4
 福島,0.4,0.2,0.1,2.7,1.5,0.1,1.9,0.9,0.2,1.6
 茨城,1.3,0.2,1,2.3,2.9,0.5,5.9,1.9,0.1,1.2
 栃木,1.9,0.3,0.4,1.8,2.6,0.9,1.5,1.9,0.2,3.3
 群馬,3.1,0.8,0.4,12.7,2.6,1.4,0.6,1.5,0.4,3.5
 埼玉,2,0.2,0.9,2.2,1.2,0.7,1.7,2.1,0.2,1.7
 千葉,2.7,0.2,0.4,3.1,1.6,0.5,1.3,2.6,0.2,2.5
 東京,4.2,0.3,1,2.4,2.2,0.4,6,2.2,0.2,1.5
 神奈川,5.5,0.3,0.3,1.3,1.9,0.5,2.9,2.8,0.2,2.6
 新潟,1.7,0.2,0.8,1.2,2.5,1.1,2.4,1.5,0.2,2.9
 富山,5.5,0.1,1.3,6.9,2.5,1.4,1.2,1.3,0.2,2.4
 石川,0.1,0.3,0.4,1.6,2,0.9,1.9,1.6,0.2,2.4
 福井,0.2,0.2,2,1.2,2.1,0.7,1.8,1.1,0.3,2.5
 山梨,5.6,0.2,1.1,1.6,2,0.3,0.9,1.1,0.2,2.1
 長野,3.4,0.5,0.2,0.8,1.3,0.5,0.2,1.2,0.2,2.1
 岐阜,1.9,0.1,0.3,2.1,1.6,0.9,2.9,1.1,0.5,3.1
 静岡,2.1,0.5,1.2,1.4,2.2,0.3,3.7,1.7,0.2,2.4
 愛知,1.1,0.2,0.4,1.3,3.4,0.5,2.4,1.5,0.2,2.1
 三重,3.6,0.3,0.4,0.9,1.7,0.6,2.3,1.7,0.3,1.5
 滋賀,0.9,0.1,0.8,0.8,2,1.8,1.6,0.7,0.2,1.8
 京都,6.5,0.5,1.8,5.4,2.3,0.5,4.3,1.2,0.1,3.5
 大阪,1.9,0.2,0.4,2.4,2.3,0.8,2.6,2.2,0.3,2.4
 兵庫,4.8,0.2,0.5,2.4,2.5,0.9,2.2,1.5,0.2,2.9
 奈良,1.3,0.2,0.2,3.4,1.6,0.7,5.6,1.2,0.1,0.8
 和歌山,8.7,0.1,0.6,4.3,1.9,0.5,2.7,1,0.3,1.4
 鳥取,4.4,0.2,1.2,2.6,3.6,1.3,1.9,1.9,0.3,5.4
 島根,6.9,0.3,0.1,0.5,1.2,0.7,2.4,0.9,0.2,2.5
 岡山,6.2,0.3,0.2,0.9,2.1,0.7,2.5,1.6,0.2,3.1
 広島,5.3,0.2,0.8,3.2,2.8,0.4,3.1,1.2,0.1,1.4
 山口,2.2,0.3,0.5,2.2,1.6,0.5,0.5,1.9,0.3,2
 徳島,4.1,0.3,3.4,2.9,3.8,0.3,1.9,3.4,0.3,1.9
 香川,3.6,0.3,0.3,1.2,2.5,0.7,1.8,2,0.3,2.4
 愛媛,3.3,0.1,0.5,1.3,5.8,0.8,7,5.3,1.8,4.5
 高知,0.4,0.4,1.8,3.9,2.1,0.8,1.1,1.2,0.1,4
 福岡,2.4,0.4,0.8,4.8,1.7,0.6,2.4,1.5,0.3,1.3
 佐賀,3.5,0.3,2.1,3.3,1.7,0.6,2.4,1.1,0.2,1.6
 長崎,0.3,0.4,1.1,1.7,2,0.3,2.1,2.4,0.2,1.7
 熊本,6.8,0.2,1,1.7,1,0.1,0.7,1.4,0.1,1.2
 大分,4.9,0.1,0.1,2.1,0.8,0.4,2.5,1,0.2,1.8
 宮崎,2.7,0.4,0.4,3.4,1.4,1,1.1,1.4,0.2,2.3
 鹿児島,4.1,0.4,0.6,1.2,2.3,0.6,2.4,1.4,0.5,1.8
 沖縄,0.5,0.5,1.2,1.9,1.4,0.6,2,1.1,0.2,2.4
