"V1","V2","V3"
1882-10-06,1888-02-21,"Shigetoshi Yoshihara"
1888-02-21,1889-09-03,"Tetsunosuke Tomita"
1889-09-03,1896-11-11,"Koichiro Kawada"
1896-11-11,1898-10-20,"Yanosuke Iwasaki"
1898-10-20,1903-10-20,"Tatsuo Yamamoto"
1903-10-20,1911-06-01,"Shigeyoshi Matsuo"
1911-06-01,1913-02-28,"Korekiyo Takahashi"
1913-02-28,1919-03-13,"Yataro Mishima"
1919-03-13,1923-09-05,"Junnosuke Inoue(1)"
1923-09-05,1927-05-10,"Otohiko Ichiki"
1927-05-10,1928-06-12,"Junnosuke Inoue(2)"
1928-06-12,1935-06-04,"Hisaakira Hijikata"
1935-06-04,1937-02-09,"Eigo Fukai"
1937-02-09,1937-07-27,"Shigeaki Ikeda"
1937-07-27,1944-03-18,"Toyotaro Yuki"
1944-03-18,1945-10-09,"渋澤敬三"
1945-10-09,1946-06-01,"新木栄吉(1)"
1946-06-01,1954-12-11,"一萬田尚登"
1954-12-11,1956-11-30,"新木栄吉(2)"
1956-11-30,1964-12-17,"山際正道"
1964-12-17,1969-12-17,"宇佐美洵"
1969-12-17,1974-12-17,"佐々木直"
1974-12-17,1979-12-17,"森永貞一郎"
1979-12-17,1984-12-17,"前川春夫"
1984-12-17,1989-12-17,"澄田智"
1989-12-17,1994-12-17,"三重野康"
1994-12-17,1998-03-20,"松下康夫"
1998-03-20,2003-03-20,"速水優"
2003-03-20,2008-04-09,"福井俊彦"
2008-04-09,2013-03-20,"白川正明"
2013-03-20,2017-08-16,"黒田東彦"
