Date,出生率(人口千対),死亡率(人口千対),乳児死亡率(出生千対),新生児死亡率(出生千対),自然増減率(人口千対),死産率(出産千対),自然死産率(出産千対),人工死産率(出産千対),周産期死亡率(出産千対),婚姻率(人口千対),離婚率(人口千対),合計特殊出生率,年齢調整死亡率(人口千対):男,年齢調整死亡率(人口千対):女,周産期死亡率(妊娠満28週以後、出生千対)
1947/1/1,34.3,14.6,76.7,31.4,19.7,44.2,…,…,…,12,1.02,4.54,23.6,18.3,…
1948/1/1,33.5,11.9,61.7,27.5,21.6,50.9,*36.9,*10.9,…,11.9,0.99,4.4,19.3,15.4,…
1949/1/1,33,11.6,62.5,26.9,21.4,66.7,*39.1,*25.9,…,10.3,1.01,4.32,18.9,15,…
1950/1/1,28.1,10.9,60.1,27.4,17.2,84.9,41.7,43.2,…,8.6,1.01,3.65,18.6,14.6,46.6
1951/1/1,25.3,9.9,57.5,27.5,15.4,92.2,43,49.3,…,7.9,0.97,3.26,16.9,13.4,46.7
1952/1/1,23.4,8.9,49.4,25.4,14.4,92.3,42.8,49.5,…,7.9,0.92,2.98,15.7,12.4,45.6
1953/1/1,21.5,8.9,48.9,25.5,12.6,93.8,43.5,50.2,…,7.8,0.86,2.69,16.4,12.6,46
1954/1/1,20,8.2,44.6,24.1,11.9,95.6,44.6,51.1,…,7.9,0.87,2.48,15.2,11.3,45.1
1955/1/1,19.4,7.8,39.8,22.3,11.6,95.8,44.5,51.3,…,8,0.84,2.37,14.8,11,43.9
1956/1/1,18.4,8,40.6,23,10.4,97.1,46.9,50.1,…,7.9,0.8,2.22,15.6,11.5,45.5
1957/1/1,17.2,8.3,40,21.6,8.9,101.2,49.9,51.3,…,8.5,0.79,2.04,16.3,11.8,45
1958/1/1,18,7.4,34.5,19.5,10.5,100.7,50.2,50.5,…,9,0.8,2.11,14.4,10.4,43.9
1959/1/1,17.5,7.4,33.7,18.6,10.1,100.6,51.3,49.3,…,9.1,0.78,2.04,14.4,10.2,43
1960/1/1,17.2,7.6,30.7,17,9.6,100.4,52.3,48.1,…,9.3,0.74,2,14.8,10.4,41.4
1961/1/1,16.9,7.4,28.6,16.5,9.5,101.7,54.3,47.4,…,9.4,0.74,1.96,14.3,10,40.9
1962/1/1,17,7.5,26.4,15.3,9.5,98.8,54.2,44.6,…,9.8,0.75,1.98,14.6,10,38.7
1963/1/1,17.3,7,23.2,13.8,10.3,95.6,53.3,42.4,…,9.7,0.73,2,13.4,9.3,36.2
1964/1/1,17.7,6.9,20.4,12.4,10.7,89.2,51.7,37.5,…,9.9,0.74,2.05,13.2,9.1,33.1
1965/1/1,18.6,7.1,18.5,11.7,11.4,81.4,47.6,33.8,…,9.7,0.79,2.14,13.7,9.3,30.1
1966/1/1,13.7,6.8,19.3,12,7,98.2,55.2,43.1,…,9.5,0.8,1.58,12.7,8.7,31.3
1967/1/1,19.4,6.8,14.9,9.9,12.7,71.6,43.6,28,…,9.6,0.84,2.23,12.6,8.5,26.3
1968/1/1,18.6,6.8,15.3,9.8,11.8,71.1,43.4,27.7,…,9.5,0.87,2.13,12.5,8.4,24.5
1969/1/1,18.5,6.8,14.2,9.1,11.7,68.6,42.3,26.3,…,9.6,0.89,2.13,12.4,8.2,23
1970/1/1,18.8,6.9,13.1,8.7,11.8,65.3,40.6,24.7,…,10,0.93,2.13,12.3,8.2,21.7
1971/1/1,19.2,6.6,12.4,8.2,12.6,61.4,39.3,22.1,…,10.5,0.99,2.16,11.5,7.6,20.4
1972/1/1,19.3,6.5,11.7,7.8,12.8,57.8,37.8,20.1,…,10.4,1.02,2.14,11.2,7.4,19
1973/1/1,19.4,6.6,11.3,7.4,12.8,52.6,35.6,17,…,9.9,1.04,2.14,11.2,7.4,18
1974/1/1,18.6,6.5,10.8,7.1,12.1,51.3,34.9,16.4,…,9.1,1.04,2.05,10.9,7.2,16.9
1975/1/1,17.1,6.3,10,6.8,10.8,50.8,33.8,17.1,…,8.5,1.07,1.91,10.4,6.9,16
1976/1/1,16.3,6.3,9.3,6.4,10,52.7,33.1,19.6,…,7.8,1.11,1.85,10.1,6.6,14.8
1977/1/1,15.5,6.1,8.9,6.1,9.4,51.5,32.6,18.9,…,7.2,1.14,1.8,9.6,6.2,14.1
1978/1/1,14.9,6.1,8.4,5.6,8.8,48.7,31.1,17.6,…,6.9,1.15,1.79,9.4,6,13
1979/1/1,14.2,6,7.9,5.2,8.3,47.7,29.6,18.1,21.6,6.8,1.17,1.77,9,5.7,12.5
1980/1/1,13.6,6.2,7.5,4.9,7.3,46.8,28.8,18,20.2,6.7,1.22,1.75,9.2,5.8,11.7
1981/1/1,13,6.1,7.1,4.7,6.9,49.2,28.8,20.5,19.5,6.6,1.32,1.74,8.9,5.6,10.8
1982/1/1,12.8,6,6.6,4.2,6.8,49,27.7,21.3,18.3,6.6,1.39,1.77,8.5,5.2,10.1
1983/1/1,12.7,6.2,6.2,3.9,6.5,45.5,25.4,20.1,16.9,6.4,1.51,1.8,8.6,5.2,9.3
