Date,出生数(人),死亡数(人),乳児死亡数(人),新生児死亡数(人),自然増減数(人),死産数(胎),自然死産数(胎),人工死産数(胎),周産期死亡数(胎),婚姻件数(組),離婚件数(組),周産期死亡数(妊娠満28週以後、胎)
1947/1/1,2678792,1138238,205360,84204,1540554,123837,…,…,…,934170,79551,…
1948/1/1,2681624,950610,165406,73855,1731014,   4) 143 963 ,*104 325,*31 055,…,953999,79032,…
1949/1/1,2696638,945444,168467,72432,1751194,   4) 192 677,*114 161,*75 585,…,842170,82575,…
1950/1/1,2337507,904876,140515,64142,1432631,216974,106594,110380,…,715081,83689,108843
1951/1/1,2137689,838998,122869,58686,1298691,217231,101237,115994,…,671905,82331,99865
1952/1/1,2005162,765068,99114,51015,1240094,203824,94508,109316,…,676995,79021,91527
1953/1/1,1868040,772547,91424,47580,1095493,193274,89751,103523,…,682077,75255,85932
1954/1/1,1769580,721491,78944,42726,1048089,187119,87201,99918,…,697809,76759,79776
1955/1/1,1730692,693523,68801,38646,1037169,183265,85159,98106,…,714861,75267,75918
1956/1/1,1665278,724460,67691,38232,940818,179007,86558,92449,…,715934,72040,75706
1957/1/1,1566713,752445,62678,33847,814268,176353,86895,89458,…,773362,71651,70502
1958/1/1,1653469,684189,57052,32237,969280,185148,92282,92866,…,826902,74004,72625
1959/1/1,1626088,689959,54768,30235,936129,181893,92688,89205,…,847135,72455,69912
1960/1/1,1606041,706599,49293,27362,899442,179281,93424,85857,…,866115,69410,66552
1961/1/1,1589372,695644,45465,26255,893728,179895,96032,83863,…,890158,69323,65063
1962/1/1,1618616,710265,42797,24777,908351,177363,97256,80107,…,928341,71394,62650
1963/1/1,1659521,670770,38442,22965,988751,175424,97711,77713,…,937516,69996,60049
1964/1/1,1716761,673067,34967,21344,1043694,168046,97357,70689,…,963130,72306,56827
1965/1/1,1823697,700438,33742,21260,1123259,161617,94476,67141,…,954852,77195,54904
1966/1/1,1360974,670342,26217,16296,690632,148248,83253,64995,…,940120,79432,42583
1967/1/1,1935647,675006,28928,19248,1260641,149389,90938,58451,…,953096,83478,50846
1968/1/1,1871839,686555,28600,18326,1185284,143259,87381,55878,…,956312,87327,45921
1969/1/1,1889815,693787,26874,17116,1196028,139211,85788,53423,…,984142,91280,43419
1970/1/1,1934239,712962,25412,16742,1221277,135095,84073,51022,…,1029405,95937,41917
1971/1/1,2000973,684521,24805,16450,1316452,130920,83827,47093,…,1091229,103595,40900
1972/1/1,2038682,683751,23773,15817,1354931,125154,81741,43413,…,1099984,108382,38754
1973/1/1,2091983,709416,23683,15473,1382567,116171,78613,37558,…,1071923,111877,37598
1974/1/1,2029989,710510,21888,14472,1319479,109738,74618,35120,…,1000455,113622,34383
1975/1/1,1901440,702275,19103,12912,1199165,101862,67643,34219,…,941628,119135,30513
1976/1/1,1832617,703270,17105,11638,1129347,101930,64046,37884,…,871543,124512,27133
1977/1/1,1755100,690074,15666,10773,1065026,95247,60330,34917,…,821029,129485,24708
1978/1/1,1708643,695821,14327,9628,1012822,87463,55818,31645,…,793257,132146,22217
1979/1/1,1642580,689664,12923,8590,952916,82311,51083,31228,36190,788505,135250,20481
1980/1/1,1576889,722801,11841,7796,854088,77446,47651,29795,32422,774702,141689,18385
1981/1/1,1529455,720262,10891,7188,809193,79222,46296,32926,30274,776531,154221,16531
1982/1/1,1515392,711883,9969,6425,803509,78107,44135,33972,28204,781252,163980,15303
1983/1/1,1508687,740038,9406,5894,768649,71941,40108,31833,25925,762552,179150,14035
1984/1/1,1489780,740247,8920,5527,749533,72361,37976,34385,25149,739991,178746,12998
1985/1/1,1431577,752283,7899,4910,679294,69009,33114,35895,22379,735850,166640,11470
1986/1/1,1382946,750620,7251,4296,632326,65678,31050,34628,20389,710962,166054,10148
1987/1/1,1346658,751172,6711,3933,595486,63834,29956,33878,18699,696173,158227,9317
1988/1/1,1314006,793014,6265,3592,520992,59636,26804,32832,16839,707716,153600,8508
1989/1/1,1246802,788594,5724,3214,458208,55204,24558,30646,15183,708316,157811,7450
1990/1/1,1221585,820305,5616,3179,401280,53892,23383,30509,13704,722138,157608,7001
1991/1/1,1223245,829797,5418,2978,393448,50510,22317,28193,10426,742264,168969,6544
1992/1/1,1208989,856643,5477,2905,352346,48896,21689,27207,9888,754441,179191,6321
1993/1/1,1188282,878532,5169,2765,309750,45090,20205,24885,9226,792658,188297,5989
1994/1/1,1238328,875933,5261,2889,362395,42962,19754,23208,9286,782738,195106,6134
1995/1/1,1187064,922139,5054,2615,264925,39403,18262,21141,8412,791888,199016,5526
1996/1/1,1206555,896211,4546,2438,310344,39536,18329,21207,8080,795080,206955,5321
1997/1/1,1191665,913402,4403,2307,278263,39546,17453,22093,7624,775651,222635,4974
1998/1/1,1203147,936484,4380,2353,266663,38988,16936,22052,7447,784595,243183,4927
1999/1/1,1177669,982031,4010,2137,195638,38452,16711,21741,7102,762028,250529,4665
2000/1/1,1190547,961653,3830,2106,228894,38393,16200,22193,6881,798138,264246,4562
2001/1/1,1170662,970331,3599,1909,200331,37467,15704,21763,6476,799999,285911,4238
2002/1/1,1153855,982379,3497,1937,171476,36978,15161,21817,6333,757331,289836,4224
2003/1/1,1123610,1014951,3364,1879,108659,35330,14644,20686,5929,740191,283854,3995
2004/1/1,1110721,1028602,3122,1622,82119,34365,14288,20077,5541,720417,270804,3671
2005/1/1,1062530,1083796,2958,1510,-21266,31818,13502,18316,5149,714265,261917,3492
2006/1/1,1092674,1084450,2864,1444,8224,30911,13424,17487,5100,730971,257475,3420
2007/1/1,1089818,1108334,2828,1434,-18516,29313,13107,16206,4906,719822,254832,3306
2008/1/1,1091156,1142407,2798,1331,-51251,28177,12625,15552,4720,726106,251136,3178
2009/1/1,1070035,1141865,2556,1254,-71830,27005,12214,14791,4519,707734,253353,3096
2010/1/1,1071304,1197012,2450,1167,-125708,26560,12245,14315,4515,700214,251378,3065
2011/1/1,1050806,1253066,2463,1147,-202260,25751,11940,13811,4315,661895,235719,2961
2012/1/1,1037231,1256359,2299,1065,-219128,24800,11448,13352,4133,668869,235406,2759
2013/1/1,1029816,1268436,2185,1026,-238620,24102,10938,13164,3862,660613,231383,2649
2014/1/1,1003539,1273004,2080,952,-269465,23524,10905,12619,3750,643749,222107,2501
2015/1/1,1005677,1290444,1916,902,-284767,22617,10862,11755,3728,635156,226215,2495
