都道府県名,市区名,標準地数,平均価格(円/平米),上位の価格(円/平米),下位の価格(円/平米)
愛知県　,名古屋市　　,347,172100,675000,72300
愛知県　,千種区　　　,26,238000,380000,154000
愛知県　,東区　　　　,13,350200,675000,213000
愛知県　,北区　　　　,19,162400,217000,108000
愛知県　,西区　　　　,17,168400,257000,118000
愛知県　,中村区　　　,16,159800,210000,124000
愛知県　,中区　　　　,5,467200,625000,239000
愛知県　,昭和区　　　,12,262800,360000,219000
愛知県　,瑞穂区　　　,17,229200,279000,158000
愛知県　,熱田区　　　,13,172200,213000,121000
愛知県　,中川区　　　,40,124300,179000,82500
愛知県　,港区　　　　,20,107300,134000,88000
愛知県　,南区　　　　,21,128400,181000,94400
愛知県　,守山区　　　,36,114700,157000,72300
愛知県　,緑区　　　　,40,143600,174000,97000
愛知県　,名東区　　　,24,190200,319000,117000
愛知県　,天白区　　　,28,164100,235000,128000
愛知県　,岡崎市　　　,72,98800,152000,33700
愛知県　,一宮市　　　,46,74300,205000,39800
愛知県　,瀬戸市　　　,39,54900,84000,21100
愛知県　,半田市　　　,28,76300,107000,44500
愛知県　,春日井市　　,49,98100,149000,46000
愛知県　,津島市　　　,11,60500,79500,48500
愛知県　,碧南市　　　,19,70300,104000,41200
愛知県　,刈谷市　　　,29,129800,174000,65600
愛知県　,豊田市　　　,58,98300,149000,20000
愛知県　,安城市　　　,21,120200,162000,57100
愛知県　,西尾市　　　,40,62200,109000,30900
愛知県　,犬山市　　　,18,63700,105000,36000
愛知県　,常滑市　　　,15,45500,64500,28100
愛知県　,江南市　　　,9,74100,95700,47500
愛知県　,小牧市　　　,25,85500,111000,42000
愛知県　,稲沢市　　　,20,77000,133000,35500
愛知県　,東海市　　　,28,89100,122000,59900
愛知県　,大府市　　　,16,114800,155000,51400
愛知県　,知多市　　　,16,71300,95300,47000
愛知県　,知立市　　　,14,117400,145000,93000
愛知県　,尾張旭市　　,20,96400,129000,73500
愛知県　,高浜市　　　,12,81400,110000,65600
愛知県　,岩倉市　　　,10,104500,141000,83900
愛知県　,豊明市　　　,10,105800,124000,62900
愛知県　,日進市　　　,14,121400,155000,56600
愛知県　,愛西市　　　,11,55100,66800,29200
愛知県　,清須市　　　,27,93300,106000,74500
愛知県　,北名古屋市　,18,101100,137000,75600
愛知県　,弥富市　　　,11,63800,82500,31500
愛知県　,みよし市　　,9,109000,139000,84400
愛知県　,あま市　　　,18,73800,90900,66000
愛知県　,長久手市　　,13,137500,171000,68000
三重県　,四日市市　　,62,47200,70500,20700
三重県　,桑名市　　　,39,51000,83200,13200
三重県　,いなべ市　　,7,26000,40200,14500
