都道府県名,市区名,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数
京都府,京都市,0.5,0.8,217,5,6.5,95
京都府,北区,0.6,1.1,24,2.1,3.4,6
京都府,上京区,2,3.2,12,2.2,3.7,5
京都府,左京区,0.8,1.2,40,1.4,2.2,7
京都府,中京区,1.5,3.3,5,8.1,10.3,21
京都府,東山区,0.8,1.1,8,6.4,12.1,11
京都府,下京区,1.2,2,6,8.1,10.3,18
京都府,南区,0.5,1,10,6.8,1.9,3
京都府,右京区,-0.2,0,25,0.7,0.8,4
京都府,伏見区,0.3,0.1,37,0.2,1.3,12
京都府,山科区,-0.4,-0.4,26,0.4,1.1,4
京都府,西京区,0.5,0.5,24,0.7,0.5,4
京都府,宇治市,0.2,0.1,34,0.6,1.2,9
京都府,亀岡市,-0.2,-0.2,18,-1.7,0,1
京都府,城陽市,-0.2,0,14,0,0,1
京都府,向日市,0.1,0.1,8,0.2,0.4,3
京都府,長岡京市,-0.1,0.1,15,0.4,0.9,2
京都府,八幡市,-0.7,-0.5,15,2.4,3,1
京都府,京田辺市,-0.3,-0.4,15,0,0,2
京都府,南丹市,-2.3,-1.6,11,   -- ,   -- ,   --
京都府,木津川市,-0.7,-0.7,21,0,0,1
大阪府,大阪市,0.5,0.5,218,7.8,9,169
大阪府,都島区,1.3,0.8,8,2.4,2.2,3
大阪府,福島区,1.8,3.2,6,9.4,10.5,8
大阪府,此花区,-0.2,-0.1,6,-0.4,0.5,2
大阪府,西区,   -- ,   -- ,   --,10.6,11.4,20
大阪府,港区,0,0.2,7,0.3,0.7,4
大阪府,大正区,-0.3,-0.2,5,0,0.9,1
大阪府,天王寺区,2.8,2.2,8,6.5,7,4
大阪府,浪速区,5,7.5,1,7.1,12.4,10
大阪府,西淀川区,-0.5,-0.3,9,0,0.6,2
大阪府,東淀川区,0.2,0.1,19,0.7,0.7,6
大阪府,東成区,0,0,6,1.2,0.8,4
大阪府,生野区,0,0,12,0,0,2
大阪府,旭区,-0.1,0,9,-0.1,0,3
大阪府,城東区,0.2,0.1,16,1.6,1.3,1
大阪府,阿倍野区,1.4,1.2,9,6.5,6.7,4
大阪府,住吉区,0.6,0.3,17,3.3,3,4
大阪府,東住吉区,0,0.1,15,-0.1,-0.1,2
大阪府,西成区,-0.1,0,7,0,1.2,3
大阪府,淀川区,0.7,0.7,11,2.4,2.3,9
大阪府,鶴見区,0,0,11,0.2,0.5,2
大阪府,住之江区,-0.1,-0.1,11,-0.4,-0.4,1
大阪府,平野区,-0.2,-0.2,17,0.1,0.1,3
大阪府,北区,4.1,4.9,5,10.7,12.9,29
大阪府,中央区,3.1,3.1,3,12.8,14.4,42
大阪府,堺市,0.3,0.6,127,1.3,2.9,14
大阪府,堺区,0.2,0.8,25,1.7,2.3,7
大阪府,中区,0.2,0.2,18,0,1,2
大阪府,東区,0.3,0.6,14,0,0.5,1
大阪府,西区,0.2,0,25,1.4,0.7,2
大阪府,南区,-0.1,-0.4,14,   -- ,   -- ,   --
大阪府,北区,1.3,2.7,20,2.1,10.6,2
大阪府,美原区,-0.1,-0.1,11,   -- ,   -- ,   --
大阪府,岸和田市,-0.2,-0.1,42,0.6,0.7,7
大阪府,豊中市,0.4,0.7,53,2.1,2.3,11
大阪府,池田市,0.6,0.3,20,2.8,3.2,4
大阪府,吹田市,0.4,0.5,56,3,3.2,10
大阪府,泉大津市,0,-0.5,12,0.8,0.7,5
大阪府,高槻市,0.1,-0.3,43,1.1,1.2,9
大阪府,貝塚市,-0.2,-0.1,22,0,0,2
大阪府,守口市,-0.9,-0.9,18,-0.5,-0.4,6
大阪府,枚方市,0.1,0.2,56,0.6,0.9,10
大阪府,茨木市,0.6,0.5,33,2.4,2.4,8
大阪府,八尾市,-0.7,-0.6,36,-0.3,-0.1,7
大阪府,泉佐野市,0.1,0.5,21,0.2,1.2,6
大阪府,富田林市,-0.4,-0.4,27,0,0.4,4
大阪府,寝屋川市,-0.5,-0.7,27,0.1,0.1,5
大阪府,河内長野市,-0.7,-0.6,27,0,0.1,5
大阪府,松原市,-0.9,-1,18,-0.8,-0.9,3
大阪府,大東市,-0.2,-0.5,17,0,-0.2,6
大阪府,和泉市,-0.1,-0.2,33,1.3,0.9,3
大阪府,箕面市,0.4,0.9,24,5.4,4.2,5
大阪府,柏原市,-0.8,-0.8,17,0,0,2
大阪府,羽曳野市,-1.1,-1.1,21,-0.8,-0.8,2
大阪府,門真市,-1,-1,18,-0.7,-0.4,4
大阪府,摂津市,0,-0.2,13,0.1,0.3,6
大阪府,高石市,0.7,0.7,11,1.4,1.2,3
大阪府,藤井寺市,-0.6,-0.6,12,0,0,2
大阪府,東大阪市,-0.4,-0.4,55,-0.2,0,18
大阪府,泉南市,-0.4,-0.4,20,0,0,2
大阪府,四條畷市,-0.5,-0.4,9,-0.5,-0.5,1
