圏域･地域,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数,工業地:平成28年変動率(%),工業地:平成29年変動率(%),工業地:平成29年地点数
東京圏,0.6,0.7,4909,2.7,3.1,1528,1.6,1.8,210
大阪圏,0.1,0,2489,3.3,4.1,642,0.4,0.6,177
名古屋圏,0.8,0.6,1284,2.7,2.5,457,0.1,0.1,92
三大都市圏平均,0.5,0.5,8682,2.9,3.3,2627,0.9,1,479
地方圏(地方四市),2.3,2.8,900,5.7,6.9,363,1.8,2.6,42
地方圏(その他),-1,-0.8,8327,-1.3,-0.9,3152,-1.2,-0.7,451
地方圏平均,-0.7,-0.4,9227,-0.5,-0.1,3515,-0.9,-0.4,493
全国平均,-0.2,0,17909,0.9,1.4,6142,0,0.3,972
