都道府県名,市区名,標準地数,平均価格(円/平米),上位の価格(円/平米),下位の価格(円/平米)
茨城県　,龍ケ崎市　　,14,27700,63100,11100
茨城県　,常総市　　　,11,23800,32600,11300
茨城県　,取手市　　　,33,47200,89000,15300
茨城県　,牛久市　　　,15,41300,72100,11500
茨城県　,守谷市　　　,13,82700,142000,21100
茨城県　,坂東市　　　,12,21100,31300,10200
茨城県　,つくばみらい市,10,29600,78700,11200
埼玉県　,さいたま市　,156,189000,880000,25200
埼玉県　,西区　　　　,9,105900,129000,44600
埼玉県　,北区　　　　,21,163100,306000,98000
埼玉県　,大宮区　　　,16,239100,332000,118000
埼玉県　,見沼区　　　,16,111700,170000,42400
埼玉県　,中央区　　　,15,241300,320000,139000
埼玉県　,桜区　　　　,9,157100,212000,129000
埼玉県　,浦和区　　　,20,302500,880000,158000
埼玉県　,南区　　　　,19,238600,332000,140000
埼玉県　,緑区　　　　,17,159200,223000,60300
埼玉県　,岩槻区　　　,14,83600,115000,25200
埼玉県　,川越市　　　,49,132000,255000,31600
埼玉県　,熊谷市　　　,26,53500,95600,11000
埼玉県　,川口市　　　,92,192800,521000,112000
埼玉県　,行田市　　　,17,35600,64200,13700
埼玉県　,所沢市　　　,50,164000,291000,52400
埼玉県　,飯能市　　　,14,86700,117000,28700
埼玉県　,加須市　　　,25,34300,54700,10900
埼玉県　,東松山市　　,15,55600,100000,19600
埼玉県　,春日部市　　,35,85900,137000,18700
埼玉県　,狭山市　　　,24,107600,165000,38000
埼玉県　,羽生市　　　,14,29800,45600,10700
埼玉県　,鴻巣市　　　,22,66900,108000,13300
埼玉県　,上尾市　　　,30,113100,158000,25400
埼玉県　,草加市　　　,31,130000,204000,92300
埼玉県　,越谷市　　　,33,128200,202000,36900
埼玉県　,蕨市　　　　,6,240200,287000,205000
埼玉県　,戸田市　　　,15,220300,263000,151000
埼玉県　,入間市　　　,23,101600,172000,33000
埼玉県　,朝霞市　　　,18,224900,304000,166000
埼玉県　,志木市　　　,7,223600,281000,152000
埼玉県　,和光市　　　,10,232600,324000,182000
埼玉県　,新座市　　　,20,181600,299000,77500
埼玉県　,桶川市　　　,14,92300,123000,20400
埼玉県　,久喜市　　　,29,59900,118000,14900
埼玉県　,北本市　　　,13,86000,121000,18000
埼玉県　,八潮市　　　,12,123500,170000,90300
埼玉県　,富士見市　　,13,162400,252000,71100
埼玉県　,三郷市　　　,17,112700,149000,46500
埼玉県　,蓮田市　　　,11,88300,120000,22700
埼玉県　,坂戸市　　　,13,90100,128000,19400
埼玉県　,幸手市　　　,7,48300,62800,19600
埼玉県　,鶴ケ島市　　,12,92900,164000,20600
埼玉県　,日高市　　　,8,50800,78400,24200
埼玉県　,吉川市　　　,6,91200,127000,30000
埼玉県　,ふじみ野市　,12,172300,247000,130000
埼玉県　,白岡市　　　,8,81700,114000,22400
千葉県　,千葉市　　　,154,114700,293000,15200
千葉県　,中央区　　　,40,120800,293000,52100
千葉県　,花見川区　　,35,125400,236000,32000
千葉県　,稲毛区　　　,30,136400,262000,59000
千葉県　,若葉区　　　,26,79300,128000,32200
千葉県　,緑区　　　　,14,62100,101000,15200
