都道府県名,市区名,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数
愛知県,名古屋市,1.6,1.2,344,5.5,4.8,210
愛知県,千種区,2.7,1.3,26,5.9,3.8,23
愛知県,東区,5.1,3.3,13,5.1,5.2,13
愛知県,北区,0.6,0.4,19,0.8,0.9,11
愛知県,西区,1.6,0.8,17,6.4,4.8,17
愛知県,中村区,1.6,1.9,16,11.4,10.1,29
愛知県,中区,2.7,1.6,4,10.1,8.5,38
愛知県,昭和区,5,4.3,12,5.3,4.3,10
愛知県,瑞穂区,3.8,3.2,17,3.5,2.7,8
愛知県,熱田区,1.7,1.9,13,2.2,4.2,10
愛知県,中川区,0.1,0.3,40,0.3,0.8,12
愛知県,港区,-0.7,-1.1,20,-0.8,-1.1,5
愛知県,南区,0.1,0.1,21,0.3,0.2,7
愛知県,守山区,0.5,0.3,34,0.4,0.3,7
愛知県,緑区,2.3,1.8,40,1.8,1.3,7
愛知県,名東区,1,1.2,24,4.5,1.6,7
愛知県,天白区,2.1,1.6,28,2.8,2.4,6
愛知県,岡崎市,0.9,0.8,70,0.6,0.5,31
愛知県,一宮市,0.7,0.5,44,1.6,1.9,26
愛知県,瀬戸市,0.5,0.4,36,0.4,0.7,7
愛知県,半田市,-0.3,-0.1,28,-0.6,-0.8,8
愛知県,春日井市,0.7,0.7,47,0.4,1,14
愛知県,津島市,-0.3,-0.3,10,-0.4,-0.2,3
愛知県,碧南市,-0.3,0.1,19,0,0,4
愛知県,刈谷市,1.6,1.3,28,1.9,1.7,7
愛知県,豊田市,3,2.7,57,1.7,1.6,13
愛知県,安城市,1.2,1.1,21,0.5,1.1,10
愛知県,西尾市,0,0.1,40,-0.1,0.2,10
愛知県,犬山市,-0.3,-0.3,18,1,0.5,4
愛知県,常滑市,-1.5,-0.9,15,-0.7,-0.5,3
愛知県,江南市,1,0.7,9,1.5,1,6
愛知県,小牧市,0.6,0.5,24,0.6,0.4,8
愛知県,稲沢市,0.4,0.2,19,0.9,0.7,4
愛知県,東海市,0.2,0.1,26,0.4,0.2,6
愛知県,大府市,2.2,2.4,15,0.3,0.9,5
愛知県,知多市,-0.5,-1.9,16,-0.9,-2.2,4
愛知県,知立市,1.4,1.2,14,1.3,1.5,3
愛知県,尾張旭市,0.8,0.4,20,0.5,0,3
愛知県,高浜市,1.6,1.1,11,0,1,2
愛知県,岩倉市,1.7,1.4,10,2,0.9,4
愛知県,豊明市,2.8,1.8,10,2,2.2,3
愛知県,日進市,3,2.6,14,4.3,4.1,1
愛知県,愛西市,0,0,11,   -- ,   -- ,   --
愛知県,清須市,0.4,0.2,26,0.9,0.3,3
愛知県,北名古屋市,0.2,0.2,18,0.5,0,1
愛知県,弥富市,0,0.2,10,0,0,1
愛知県,みよし市,3.1,2.6,9,1.9,1.8,2
愛知県,あま市,0,0,18,0.1,0,2
愛知県,長久手市,2.9,3.1,12,2.4,4.7,1
三重県,四日市市,-0.5,-0.4,62,0.2,0.2,25
三重県,桑名市,-0.7,-0.6,38,0,-0.2,7
