地方別,住宅地:平成28年変動率(%),住宅地:平成29年変動率(%),住宅地:平成29年地点数,商業地:平成28年変動率(%),商業地:平成29年変動率(%),商業地:平成29年地点数,工業地:平成28年変動率(%),工業地:平成29年変動率(%),工業地:平成29年地点数
北 海 道 地 方,-0.5,-0.3,930,1.2,1.5,354,-1,-0.4,56
東北地方,0.1,0.3,1567,-0.5,0.2,559,-0.4,0.2,66
関東地方(東京圏を除く),-1.2,-0.9,1469,-1.4,-1,504,-1.2,-0.7,55
北陸地方,-0.7,-0.6,385,0.2,0.1,159,-0.8,-0.4,20
中部地方(名古屋圏を除く),-1.1,-1.1,981,-1,-0.9,361,-1.4,-1.1,72
近畿地方(大阪圏を除く),-1.2,-1.3,712,-0.8,-0.7,256,-0.7,-0.4,41
中国地方,-0.9,-0.4,1083,-0.6,-0.1,420,-1.1,-0.6,68
四国地方,-1.5,-1.2,455,-1.7,-1.4,204,-1.5,-1.1,30
九州・沖縄地方,-0.3,0.2,1645,-0.3,0.6,698,-0.6,0.2,85
