"日銀当座預金増減要因(2017年3月見込み)","見込み─億円","(前年実績)─億円","<前年比>─億円"
"銀行券要因",-4000,-4476,476
"財政等要因",38900,26518,12382
"財政等要因:国債等",31300,10051,21249
"財政等要因:国庫短期証券等",-44500,-15960,-28540
"財政等要因:上記を除くその他",52100,32427,19673
"資金過不足",34900,22042,12858
