"日銀当座預金増減要因(2017年4月見込み)","見込み:億円","(前年実績):億円","前年比:億円"
"銀行券要因",-13200,-15093,1893
"財政等要因",-33700,-46829,13129
"財政等要因:国債等",-95100,-103561,8461
"財政等要因:国庫短期証券等",-45900,-40377,-5523
"財政等要因:上記を除くその他",107300,97109,10191
"資金過不足",-46900,-61922,15022
