"日銀当座預金増減要因(2017年1月見込み)","見込み:億円","(前年実績):億円","前年比:億円"
"銀行券要因",39100,36396,2704
"財政等要因",-207300,-155611,-51689
"財政等要因:国債等",-101400,-102304,904
"財政等要因:国庫短期証券等",-81800,-31445,-50355
"財政等要因:上記を除くその他",-24100,-21862,-2238
"資金過不足",-168200,-119215,-48985
