利付国債等1回当たりオファー金額(億円、程度),,,
残存期間,2017年5月適用,2017年6月適用,2017年7月適用
1年以下,500-1000,500-1500,500-1500
1年超3年以下,2000-3000,2000-3000,2000-3000
3年超5年以下,2500-3500,2500-3500,2500-3500
5年超10年以下,3500-5500,3500-5500,3500-5500
10年超25年以下,1500-2500,1500-2500,1500-2500
25年超,500-1500,500-1500,500-1500
物価連動債,250,250,250
変動利付債(偶数月),1000,1000,1000
