"日銀当座預金増減要因(2017年5月見込み)","見込み─億円","(前年実績)─億円","<前年比>─億円"
"銀行券要因",15500,18372,-2872
"財政等要因",-158300,-181718,23418
"財政等要因:国債等",-101100,-99818,-1282
"財政等要因:国庫短期証券等",-47500,-54656,7156
"財政等要因:上記を除くその他",-9700,-27244,17544
"資金過不足",-142800,-163346,20546
