"ID","Prefecture","Lon10Base","Lat10Base","Lon60base","Lat60base"
1,"北海道",142.82389,43.46972,"142:49:26","43:28:11"
2,"青森県",140.82833,40.78306,"140:49:42","40:46:59"
3,"岩手県",141.35889,39.59417,"141:21:32","39:35:39"
4,"宮城県",140.92472,38.44861,"140:55:29","38:26:55"
5,"秋田県",140.40528,39.75028,"140:24:19","39:45:01"
6,"山形県",140.09944,38.44944,"140:05:58","38:26:58"
7,"福島県",140.22194,37.38194,"140:13:19","37:22:55"
8,"茨城県",140.31528,36.30944,"140:18:55","36:18:34"
9,"栃木県",139.81583,36.69222,"139:48:57","36:41:32"
10,"群馬県",138.98222,36.50694,"138:58:56","36:30:25"
11,"埼玉県",139.34444,35.99972,"139:20:40","35:59:59"
12,"千葉県",140.20056,35.51611,"140:12:02","35:30:58"
13,"東京都",139.59556,35.02167,"139:35:44","35:01:18"
14,"神奈川県",139.33722,35.4175,"139:20:14","35:25:03"
15,"新潟県",138.91389,37.52194,"138:54:50","37:31:19"
16,"富山県",137.265,36.63917,"137:15:54","36:38:21"
17,"石川県",136.76833,36.76889,"136:46:06","36:46:08"
18,"福井県",136.22444,35.84972,"136:13:28","35:50:59"
19,"山梨県",138.60861,35.61556,"138:36:31","35:36:56"
20,"長野県",138.04083,36.13306,"138:02:27","36:07:59"
21,"岐阜県",137.05194,35.78056,"137:03:07","35:46:50"
22,"静岡県",138.32694,35.02028,"138:19:37","35:01:13"
23,"愛知県",137.21194,35.03778,"137:12:43","35:02:16"
24,"三重県",136.37861,34.51694,"136:22:43","34:31:01"
25,"滋賀県",136.13528,35.21861,"136:08:07","35:13:07"
26,"京都府",135.44306,35.25528,"135:26:35","35:15:19"
27,"大阪府",135.50833,34.62611,"135:30:30","34:37:34"
28,"兵庫県",134.82583,35.04028,"134:49:33","35:02:25"
29,"奈良県",135.86861,34.31889,"135:52:07","34:19:08"
30,"和歌山県",135.51056,33.91278,"135:30:38","33:54:46"
31,"鳥取県",133.84889,35.36361,"133:50:56","35:21:49"
32,"島根県",132.55694,35.07611,"132:33:25","35:04:34"
33,"岡山県",133.8125,34.90417,"133:48:45","34:54:15"
34,"広島県",132.785,34.60694,"132:47:06","34:36:25"
35,"山口県",131.5725,34.20194,"131:34:21","34:12:07"
36,"徳島県",134.24028,33.92139,"134:14:25","33:55:17"
37,"香川県",133.99389,34.24639,"133:59:38","34:14:47"
38,"愛媛県",132.85333,33.62528,"132:51:12","33:37:31"
39,"高知県",133.36417,33.42444,"133:21:51","33:25:28"
40,"福岡県",130.66583,33.52583,"130:39:57","33:31:33"
41,"佐賀県",130.11472,33.28861,"130:06:53","33:17:19"
42,"長崎県",129.61194,33.23083,"129:36:43","33:13:51"
43,"熊本県",130.75417,32.61833,"130:45:15","32:37:06"
44,"大分県",131.43167,33.2025,"131:25:54","33:12:09"
45,"宮崎県",131.29806,32.19417,"131:17:53","32:11:39"
46,"鹿児島県",130.42194,31.01639,"130:25:19","31:00:59"
47,"沖縄県",126.63806,25.77528,"126:38:17","25:46:31"
