"日銀当座預金増減要因(2017年2月見込み)","見込み─億円","(前年実績)─億円","<前年比>─億円"
"銀行券要因",-2500,-3567,1067
"財政等要因",-144500,-141363,-3137
"財政等要因:国債等",-100500,-104079,3579
"財政等要因:国庫短期証券等",-54600,-39694,-14906
"財政等要因:上記を除くその他",10600,2410,8190
"資金過不足",-147000,-144930,-2070
