"日銀当座預金増減要因(2017年6月見込み)","見込み:億円","(前年実績):億円","前年比:億円"
"銀行券要因",-6800,-7206,406
"財政等要因",-2400,1974,-4374
"財政等要因:国債等",10800,11387,-587
"財政等要因:国庫短期証券等",-41100,-33374,-7726
"財政等要因:その他",27900,23961,3939
"資金過不足",-9200,-5232,-3968
